ATR_PERIOD,ATR_MULTIPLIER,ADX_LENGTH,DI_DIFFERENCE_FILTER,DI_DIFFERENCE_LOOKBACK_PERIOD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
30,4,13,6,8,1.5789473684210527,55.666666666666664,300,167,133,1004129.9246381876,0.412992463818763
30,4,13,7,4,1.9842105263157894,52.51989389920424,377,198,179,981694.8439282569,-1.8305156071743114
30,4,13,7,5,1.805263157894737,54.518950437317784,343,187,156,995292.6951882573,-0.4707304811742739
30,4,13,7,6,1.6842105263157894,55.3125,320,177,143,1000149.5151808426,0.014951518084260169
30,4,13,7,7,1.5421052631578946,56.655290102389074,293,166,127,1009142.1560696953,0.9142156069695252
30,4,13,7,8,1.394736842105263,56.22641509433962,265,149,116,1006886.5621140135,0.6886562114013476
30,4,13,8,4,1.8421052631578947,54.285714285714285,350,190,160,992230.0632048572,-0.7769936795142828
30,4,13,8,5,1.6631578947368422,54.74683544303798,316,173,143,995416.0130852427,-0.458398691475729
30,4,13,8,6,1.5578947368421052,55.067567567567565,296,163,133,1000499.1375118198,0.049913751181983386
30,4,13,8,7,1.3526315789473684,56.03112840466926,257,144,113,1005943.0320632843,0.5943032063284307
30,4,13,8,8,1.231578947368421,56.41025641025641,234,132,102,1008421.1204264316,0.8421120426431647
30,4,13,9,4,1.7105263157894737,54.15384615384615,325,176,149,991234.324889401,-0.8765675110599025
30,4,13,9,5,1.5473684210526315,54.421768707483,294,160,134,994417.7637082115,-0.5582236291788518
30,4,13,9,6,1.3473684210526315,55.46875,256,142,114,1003474.0485400383,0.347404854003829
30,4,13,9,7,1.194736842105263,54.18502202643172,227,123,104,998637.0801161786,-0.13629198838213924
30,4,13,9,8,1.0157894736842106,52.331606217616574,193,101,92,991823.8708870256,-0.8176129112974391
30,4,13,10,4,1.563157894736842,54.882154882154886,297,163,134,997960.0162154716,-0.2039983784528449
30,4,13,10,5,1.331578947368421,54.54545454545454,253,138,115,999537.4106571177,-0.046258934288227464
30,4,13,10,6,1.131578947368421,53.95348837209303,215,116,99,998065.1970990243,-0.19348029009756865
30,4,13,10,7,1.0157894736842106,54.40414507772021,193,105,88,999551.1242622617,-0.04488757377383299
30,4,13,10,8,0.8578947368421053,51.533742331288344,163,84,79,991097.2880514285,-0.8902711948571495
30,4,14,6,4,2.0210526315789474,52.604166666666664,384,202,182,982361.0027734344,-1.763899722656561
30,4,14,6,5,1.8157894736842106,55.072463768115945,345,190,155,997493.4075909517,-0.2506592409048346
30,4,14,6,6,1.694736842105263,54.96894409937888,322,177,145,998460.8034182811,-0.1539196581718861
30,4,14,6,7,1.6,55.26315789473685,304,168,136,1000264.9606742735,0.02649606742735486
30,4,14,6,8,1.4421052631578948,55.47445255474452,274,152,122,1003683.3580919039,0.368335809190385
30,4,14,7,4,1.9157894736842105,53.57142857142857,364,195,169,988271.0548834245,-1.1728945116575458
30,4,14,7,5,1.7105263157894737,55.69230769230769,325,181,144,1000738.7423687651,0.07387423687650589
30,4,14,7,6,1.6105263157894736,55.88235294117647,306,171,135,1004042.109875506,0.4042109875506023
