MACD_FAST_LENGTH,MACD_SLOW_LENGTH,MACD_SIGNAL_LENGTH,SIZE_RATIO_THRESHOLD,DI_LENGTH,DI_SLOPE_LENGTH,MIN_SLOPE_THRESHOLD,REQUIRED_CONSECUTIVE_CANDLES,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
12,17,10,0.7,12,9,16,2,3.2842105263157895,52.40384615384615,624,327,297,979624.6876664939,-2.037531233350607
12,17,10,0.7,12,9,18,1,3.857894736842105,51.4324693042292,733,377,356,961261.2542553415,-3.873874574465852
12,17,10,0.7,12,9,18,2,2.3789473684210525,52.876106194690266,452,239,213,990475.2515157601,-0.9524748484239913
12,17,10,0.7,12,11,12,1,8.373684210526315,51.728472658705215,1591,823,768,927272.2124560949,-7.272778754390509
12,17,10,0.7,12,11,12,2,6.410526315789474,49.835796387520524,1218,607,611,899179.2076826091,-10.08207923173909
12,17,10,0.7,12,11,14,1,6.984210526315789,52.22305953278072,1327,693,634,948516.397974164,-5.148360202583601
12,17,10,0.7,12,11,14,2,5.131578947368421,48.717948717948715,975,475,500,900617.4378988263,-9.938256210117368
12,17,10,0.7,12,11,16,1,5.626315789473685,51.91768007483629,1069,555,514,955852.2555963134,-4.414774440368661
12,17,10,0.7,12,11,16,2,3.8473684210526318,50.752393980848154,731,371,360,953119.5824314017,-4.688041756859829
12,17,10,0.7,12,11,18,1,4.431578947368421,50.475059382422806,842,425,417,945553.3717201556,-5.444662827984441
12,17,10,0.7,12,11,18,2,2.663157894736842,54.54545454545454,506,276,230,1005180.2213382826,0.5180221338282571
12,17,10,0.7,12,13,12,1,8.75263157894737,52.555622369212266,1663,874,789,955489.9608161628,-4.451003918383725
12,17,10,0.7,12,13,12,2,6.684210526315789,52.047244094488185,1270,661,609,946326.898632214,-5.3673101367785945
12,17,10,0.7,12,13,14,1,7.157894736842105,52.352941176470594,1360,712,648,958842.2618007986,-4.1157738199201415
12,17,10,0.7,12,13,14,2,5.3578947368421055,53.045186640471506,1018,540,478,975338.8657850489,-2.4661134214951077
12,17,10,0.7,12,13,16,1,5.863157894736842,52.51346499102334,1114,585,529,972525.1484472107,-2.7474851552789334
12,17,10,0.7,12,13,16,2,4.2,50.37593984962406,798,402,396,936334.4158750743,-6.366558412492567
12,17,10,0.7,12,13,18,1,4.7105263157894735,53.519553072625705,895,479,416,993032.3450209411,-0.696765497905889
12,17,10,0.7,12,13,18,2,2.9894736842105263,51.58450704225353,568,293,275,970503.1693005125,-2.9496830699487475
12,17,10,0.7,12,15,12,1,8.926315789473684,51.82783018867924,1696,879,817,930339.89124772,-6.966010875228001
12,17,10,0.7,12,15,12,2,6.7631578947368425,51.67315175097277,1285,664,621,937646.2810589904,-6.235371894100961
12,17,10,0.7,12,15,14,1,7.621052631578947,52.55524861878453,1448,761,687,953066.5461658286,-4.693345383417141
12,17,10,0.7,12,15,14,2,5.542105263157895,50.427350427350426,1053,531,522,924386.2166189931,-7.561378338100691
12,17,10,0.7,12,15,16,1,6.015789473684211,53.63079615048119,1143,613,530,978174.350242058,-2.182564975794195
12,17,10,0.7,12,15,16,2,4.252631578947368,49.75247524752475,808,402,406,930767.7645479242,-6.923223545207584
12,17,10,0.7,12,15,18,1,4.668421052631579,53.551296505073275,887,475,412,980661.9196858297,-1.9338080314170336
12,17,10,0.7,12,15,18,2,3.305263157894737,53.82165605095541,628,338,290,1001548.3848646228,0.15483848646228435
12,17,10,0.7,14,7,12,1,5.905263157894737,49.465240641711226,1122,555,567,905983.6840829743,-9.401631591702566
12,17,10,0.7,14,7,12,2,4.063157894736842,52.07253886010362,772,402,370,965957.6946831776,-3.404230531682237
12,17,10,0.7,14,7,14,1,4.463157894736842,50.35377358490566,848,427,421,939519.0737370197,-6.048092626298033
12,17,10,0.7,14,7,14,2,2.8684210526315788,51.37614678899083,545,280,265,969371.6859480852,-3.0628314051914844
12,17,10,0.7,14,7,16,1,3.1789473684210527,50.331125827814574,604,304,300,957931.5950575677,-4.20684049424323
12,17,10,0.7,14,7,16,2,1.9105263157894736,53.168044077134994,363,193,170,991586.647693554,-0.8413352306445944
12,17,10,0.7,14,7,18,1,2.278947368421053,49.19168591224018,433,213,220,962718.6524657083,-3.728134753429168
12,17,10,0.7,14,7,18,2,1.268421052631579,51.037344398340245,241,123,118,988340.4361763786,-1.165956382362137
12,17,10,0.7,14,9,12,1,6.831578947368421,49.38366718027735,1298,641,657,894004.2308964157,-10.599576910358435
12,17,10,0.7,14,9,12,2,5.089473684210526,49.638055842812825,967,480,487,914902.3050710327,-8.509769492896728
12,17,10,0.7,14,9,14,1,5.326315789473684,50.39525691699605,1012,510,502,930685.9736636748,-6.931402633632522
12,17,10,0.7,14,9,14,2,3.542105263157895,53.49182763744428,673,360,313,992627.818170346,-0.737218182965403
12,17,10,0.7,14,9,16,1,3.9368421052631577,51.7379679144385,748,387,361,962306.6291603768,-3.7693370839623155
12,17,10,0.7,14,9,16,2,2.431578947368421,52.16450216450217,462,241,221,982814.9208668215,-1.7185079133178456
12,17,10,0.7,14,9,18,1,2.763157894736842,52.38095238095239,525,275,250,989085.6876792873,-1.091431232071272
12,17,10,0.7,14,9,18,2,1.6368421052631579,53.37620578778135,311,166,145,992471.1799938569,-0.7528820006143069
12,17,10,0.7,14,11,12,1,7.431578947368421,52.8328611898017,1412,746,666,962037.0021048391,-3.7962997895160924
12,17,10,0.7,14,11,12,2,5.542105263157895,49.382716049382715,1053,520,533,904915.6983373684,-9.508430166263157
12,17,10,0.7,14,11,14,1,5.878947368421053,51.298119964189794,1117,573,544,937852.0229454837,-6.214797705451632
12,17,10,0.7,14,11,14,2,4.110526315789474,51.47247119078106,781,402,379,961179.0559217678,-3.882094407823216
12,17,10,0.7,14,11,16,1,4.526315789473684,51.86046511627907,860,446,414,966262.4975153258,-3.373750248467421
12,17,10,0.7,14,11,16,2,2.8,53.75939849624061,532,286,246,999588.0232958492,-0.041197670415078755
12,17,10,0.7,14,11,18,1,3.126315789473684,52.52525252525253,594,312,282,984216.5630236459,-1.5783436976354104
